age,edu,gender,housing,income,job_occupation,past_bad_credit,married,loan_amount,debt_to_income,credit_history_years,default_label
34,high_school,female,mortgage,28059.45,salary_worker,1,0,8522.23,0.51,6.7,0
52,bachelor,female,mortgage,17273.78,salary_worker,0,0,8458.13,,14.3,0
29,bachelor,male,rent,18829.41,public_sector,0,0,14269.74,0.41,4.1,0
58,bachelor,female,own,17729.83,,1,1,11931.09,0.39,7.3,1
56,high_school,male,rent,18691.39,public_sector,0,1,2899.31,0.31,15.7,0
38,high_school,male,own,16688.72,self_employed,0,0,5785.69,0.15,3.1,0
24,bachelor,male,own,27207.46,public_sector,0,0,6625.38,0.27,10.1,0
69,high_school,female,mortgage,22696.89,public_sector,0,1,3898.52,0.51,4.7,0
43,phd,male,mortgage,24874.63,,0,1,14022.75,0.61,9.1,0
65,high_school,female,rent,,salary_worker,0,1,17879.52,0.69,,0
54,high_school,female,rent,,self_employed,1,1,8056.15,0.43,,0
59,high_school,female,own,31959.55,public_sector,0,0,9549.33,0.39,8.1,1
58,bachelor,male,own,33638.86,public_sector,0,0,8052.96,0.42,3.7,0
30,bachelor,male,own,23664.1,self_employed,0,0,8557.25,0.69,6.8,0
39,bachelor,female,own,27534.9,public_sector,1,1,14983.8,0.43,5.2,0
44,phd,female,own,24570.8,salary_worker,0,0,3068.6,0.36,1.7,0
45,high_school,male,mortgage,26666.18,salary_worker,0,1,10586.73,0.29,0.0,0
23,bachelor,male,own,18696.05,retired,1,0,8156.08,0.31,4.2,0
48,high_school,female,rent,19488.99,self_employed,0,1,5473.05,0.41,7.4,0
28,high_school,female,rent,24529.09,public_sector,1,0,6143.54,0.2,12.0,0
58,bachelor,male,own,10023.06,salary_worker,0,1,22199.03,0.23,4.5,0
55,high_school,male,rent,47726.06,self_employed,0,0,3904.46,0.33,8.3,0
67,bachelor,male,rent,64368.91,salary_worker,0,1,7385.64,,0.7,0
58,bachelor,female,rent,26282.47,salary_worker,1,1,19855.13,0.45,4.3,0
39,bachelor,female,mortgage,32841.92,salary_worker,0,0,4029.63,0.46,0.0,0
69,bachelor,female,mortgage,39595.71,public_sector,0,1,6305.07,0.39,16.4,0
41,bachelor,female,own,13411.91,salary_worker,0,0,8293.86,0.43,8.3,0
37,high_school,male,rent,36964.94,salary_worker,0,0,10167.62,0.36,8.2,0
66,high_school,female,own,20092.5,salary_worker,0,1,7752.95,0.01,9.6,0
39,,male,own,68242.71,salary_worker,1,0,4952.02,0.18,17.6,0
24,bachelor,male,mortgage,22365.69,self_employed,0,0,10363.77,0.47,5.8,0
44,phd,male,own,36632.17,public_sector,0,0,7666.91,0.19,3.6,0
60,high_school,male,mortgage,22465.01,public_sector,0,0,11444.51,0.49,15.5,0
30,bachelor,male,mortgage,65415.32,salary_worker,0,1,13467.46,0.5,2.6,0
44,bachelor,female,own,19330.56,self_employed,0,0,3578.03,0.29,12.7,0
27,master,female,rent,41121.65,salary_worker,0,0,14302.95,0.23,7.2,0
55,bachelor,female,own,32273.61,,0,0,7044.16,0.34,9.2,1
44,bachelor,male,own,29200.45,retired,0,0,12757.39,0.33,1.8,0
37,bachelor,male,own,26985.46,self_employed,0,0,10632.07,0.45,17.9,0
32,master,female,mortgage,18030.94,retired,0,1,22465.71,0.01,6.0,0
49,high_school,female,rent,7602.82,salary_worker,1,1,8131.0,0.21,4.7,0
54,master,female,own,39477.12,public_sector,0,1,6491.03,0.16,9.7,0
68,high_school,female,rent,19536.16,public_sector,0,1,6111.14,0.01,4.9,0
42,master,male,rent,41205.21,,1,1,4580.66,0.25,9.2,0
29,high_school,female,own,28517.24,public_sector,0,0,12637.91,0.07,2.5,0
62,high_school,male,mortgage,41777.6,salary_worker,1,1,4421.43,0.27,,0
52,high_school,male,own,34921.28,public_sector,0,1,12577.07,0.25,5.1,0
56,bachelor,female,rent,8029.58,self_employed,1,0,7165.81,0.42,4.4,0
25,high_school,female,rent,32102.94,self_employed,0,0,3072.44,0.29,3.7,0
36,high_school,male,own,20854.94,salary_worker,0,0,18371.38,0.04,11.0,0
59,bachelor,male,own,41120.21,salary_worker,1,0,1265.6,0.4,6.1,0
62,high_school,female,mortgage,31762.56,retired,0,1,7746.78,0.78,6.8,0
42,master,female,own,31931.11,salary_worker,1,0,9215.82,0.53,9.2,0
61,master,male,mortgage,21536.2,salary_worker,0,1,2279.41,0.46,,0
63,bachelor,male,mortgage,16144.38,salary_worker,0,1,10328.78,0.3,3.8,0
40,high_school,male,own,20034.3,self_employed,0,0,5606.13,0.25,8.4,0
65,high_school,male,own,10829.71,public_sector,0,1,7067.87,0.24,3.9,0
35,master,male,mortgage,,retired,0,0,16960.73,0.38,6.7,0
32,high_school,female,mortgage,12595.92,,0,0,8764.77,0.14,11.8,0
55,high_school,male,own,12746.56,salary_worker,0,0,6682.12,0.38,0.0,0
52,phd,female,own,25652.99,salary_worker,0,1,7377.92,0.22,3.8,0
27,phd,male,own,30956.0,salary_worker,0,0,21522.56,0.03,6.6,0
62,high_school,male,mortgage,23997.21,self_employed,1,1,10122.72,0.22,9.0,0
30,bachelor,male,mortgage,19448.87,student,0,0,4983.71,0.57,12.4,0
61,bachelor,male,mortgage,15893.51,salary_worker,1,1,6194.55,0.36,0.7,0
21,bachelor,male,rent,21104.96,salary_worker,1,0,4211.02,0.01,13.2,0
60,high_school,male,rent,16814.55,public_sector,0,0,6320.54,0.22,9.6,0
60,high_school,male,mortgage,23664.38,self_employed,0,1,19620.72,0.5,6.5,0
60,bachelor,male,own,12274.89,public_sector,1,0,7394.68,0.29,1.6,1
54,high_school,female,mortgage,33376.02,self_employed,0,1,3884.09,0.43,5.2,0
44,bachelor,female,rent,,salary_worker,0,0,10270.29,0.27,11.6,0
56,high_school,male,mortgage,28834.15,self_employed,0,0,6529.48,0.37,7.6,0
34,master,male,mortgage,36288.27,salary_worker,0,0,11034.43,0.35,6.8,0
60,master,male,rent,28213.11,public_sector,0,1,7091.7,0.22,3.6,0
48,bachelor,male,rent,34877.84,salary_worker,0,1,17941.98,0.44,,0
43,master,female,mortgage,9604.74,self_employed,0,0,4910.57,0.62,6.9,0
46,high_school,female,rent,19500.87,student,0,0,4269.11,0.41,6.6,0
49,bachelor,male,mortgage,39989.99,self_employed,0,0,13570.86,0.36,7.1,0
22,high_school,female,own,30612.18,salary_worker,1,0,2692.01,0.19,4.9,1
27,master,male,own,55927.33,retired,0,0,7371.95,0.51,4.2,0
33,master,male,rent,52416.21,salary_worker,0,0,12585.97,,1.4,0
26,master,male,mortgage,27856.36,public_sector,0,1,2423.78,0.44,5.0,0
42,master,female,mortgage,21733.49,salary_worker,1,1,8396.36,0.48,0.3,0
54,phd,male,mortgage,15814.82,retired,1,0,3558.98,0.52,9.4,0
53,high_school,female,mortgage,19651.05,salary_worker,0,0,2937.56,0.52,4.8,0
44,master,female,own,20257.67,salary_worker,0,0,4508.56,0.51,5.9,0
63,bachelor,female,mortgage,18639.49,student,1,1,7325.63,0.11,7.4,0
49,bachelor,female,own,16102.79,self_employed,0,1,5495.96,0.19,4.3,0
24,bachelor,male,own,29164.56,salary_worker,0,0,14896.58,0.09,2.8,0
59,high_school,male,rent,52233.95,salary_worker,0,1,8478.7,0.08,8.4,0
49,high_school,female,rent,37047.85,salary_worker,1,1,6192.38,0.61,15.1,1
52,high_school,male,mortgage,21055.37,salary_worker,0,1,3942.43,0.16,11.1,0
49,high_school,male,rent,38419.21,self_employed,0,0,9166.03,0.14,12.6,0
48,bachelor,male,mortgage,28452.54,self_employed,0,1,25144.5,0.33,2.3,0
25,master,male,mortgage,23901.18,retired,0,0,5504.91,0.21,6.7,0
48,bachelor,male,own,23239.18,public_sector,0,1,5871.98,0.75,6.7,0
60,bachelor,female,rent,22248.43,retired,1,0,4521.54,0.29,,0
36,bachelor,female,mortgage,32629.75,self_employed,0,0,15541.96,0.42,11.2,0
51,bachelor,male,rent,25922.11,salary_worker,0,0,13492.01,0.2,6.8,0
22,high_school,male,mortgage,17539.48,self_employed,0,0,6339.47,0.04,0.0,1
38,master,male,own,17161.38,salary_worker,0,1,5828.56,0.21,2.9,0
42,high_school,female,own,27935.59,salary_worker,1,1,4821.69,0.21,10.0,0
70,bachelor,female,own,29522.06,public_sector,0,1,6911.06,0.21,6.2,0
31,bachelor,male,own,21143.55,public_sector,0,1,14199.09,0.05,7.1,0
34,bachelor,female,rent,14626.61,salary_worker,0,0,8290.28,0.36,,0
41,master,male,rent,42741.87,salary_worker,0,0,16452.06,0.28,12.0,0
70,high_school,male,own,38846.45,salary_worker,0,1,5452.95,0.06,4.4,0
63,master,female,mortgage,9953.51,self_employed,0,0,2271.07,0.36,9.9,0
22,,female,rent,44480.77,salary_worker,0,0,33959.86,0.48,13.9,0
32,master,female,rent,22158.16,retired,1,0,9118.14,0.56,13.2,0
62,bachelor,female,rent,26515.75,self_employed,0,0,12433.99,0.01,5.4,0
23,master,male,own,40627.5,salary_worker,0,0,5254.64,0.21,8.7,0
63,phd,male,rent,51207.56,public_sector,0,1,3829.93,0.09,10.5,0
35,bachelor,female,mortgage,38226.7,retired,0,0,8822.95,0.22,7.6,0
66,master,male,rent,27131.85,public_sector,1,1,2709.64,0.59,6.5,1
35,bachelor,female,mortgage,13107.79,self_employed,0,0,6996.16,0.21,0.6,0
42,bachelor,female,rent,9780.99,salary_worker,0,0,14218.1,0.25,4.0,0
54,master,male,own,36140.58,,0,1,10369.86,0.19,4.7,0
27,high_school,male,rent,44529.79,public_sector,0,0,9322.59,0.63,2.5,0
48,bachelor,male,mortgage,16871.98,student,0,1,21142.84,0.01,7.9,0
46,high_school,female,mortgage,21560.09,salary_worker,0,1,9961.05,0.24,11.0,0
60,high_school,male,rent,18943.77,public_sector,0,1,2842.86,0.18,5.8,0
70,master,female,mortgage,18718.08,salary_worker,0,1,7465.23,0.03,0.0,0
54,high_school,male,rent,39487.23,salary_worker,0,0,23363.37,0.54,7.0,0
41,high_school,male,own,26856.63,salary_worker,0,0,6834.99,0.02,8.6,0
41,high_school,male,mortgage,21957.63,salary_worker,0,0,22589.78,0.26,8.3,0
41,bachelor,female,rent,80489.66,self_employed,0,0,14228.53,0.33,4.6,0
61,master,female,own,12765.62,salary_worker,1,0,6472.63,0.2,2.7,0
37,master,male,rent,31149.7,public_sector,1,1,4472.61,0.03,11.0,0
29,high_school,female,mortgage,15183.43,self_employed,0,0,9768.73,0.31,8.9,0
37,bachelor,male,own,22678.06,salary_worker,0,1,16297.63,0.2,4.8,0
22,bachelor,male,mortgage,26026.94,,1,0,3400.74,0.49,1.5,0
26,bachelor,male,rent,35598.83,,0,0,8657.78,0.43,8.4,0
25,bachelor,female,mortgage,21643.67,salary_worker,0,0,2636.58,0.69,3.9,0
59,high_school,male,rent,20637.67,student,0,0,6722.56,0.36,9.0,0
57,bachelor,female,own,21470.0,salary_worker,0,0,3261.35,0.45,8.1,0
55,,female,rent,14973.26,salary_worker,0,1,11039.44,0.28,15.8,0
44,bachelor,male,rent,,self_employed,0,1,5547.21,0.65,7.2,0
56,bachelor,female,rent,27628.43,salary_worker,0,1,15320.08,0.34,15.5,0
29,master,male,mortgage,29608.77,salary_worker,0,0,6019.32,0.32,7.8,1
66,bachelor,male,rent,23593.01,public_sector,0,0,5725.21,0.44,4.8,1
46,high_school,male,own,22319.25,self_employed,0,1,3333.1,0.22,,0
67,master,male,mortgage,41316.62,,1,1,10047.48,0.25,4.0,1
28,master,male,rent,38553.57,retired,0,0,10621.71,0.44,9.2,0
45,high_school,female,rent,46012.13,salary_worker,0,0,13586.87,0.47,8.0,0
55,bachelor,male,rent,28786.66,self_employed,0,0,11618.58,0.45,0.1,0
45,high_school,female,rent,44743.38,salary_worker,0,1,10104.12,0.33,11.6,0
43,bachelor,male,own,20186.37,salary_worker,1,0,11245.44,0.39,13.4,0
29,high_school,male,mortgage,22239.31,student,0,0,11887.67,0.51,0.1,0
40,bachelor,male,rent,41680.78,public_sector,0,0,13349.19,0.14,11.5,0
32,high_school,female,rent,35580.03,salary_worker,0,0,3497.61,0.34,14.2,0
36,bachelor,female,own,21360.47,salary_worker,0,0,6285.5,0.01,0.3,0
55,phd,female,rent,15202.02,,0,1,3318.67,0.47,5.6,0
52,high_school,female,own,22208.18,public_sector,0,0,9727.12,0.2,4.1,0
51,master,female,mortgage,17886.64,salary_worker,0,0,19860.29,0.2,11.4,0
39,phd,female,rent,52893.01,retired,0,0,13266.37,0.32,5.8,0
68,master,female,own,34269.75,salary_worker,0,1,5802.95,0.45,5.7,0
25,high_school,male,mortgage,17245.99,salary_worker,0,0,10699.77,0.77,9.2,0
38,master,female,mortgage,15210.69,retired,0,1,9817.45,0.06,13.7,0
26,high_school,male,mortgage,17150.1,retired,0,0,9211.62,0.19,7.3,0
37,high_school,female,mortgage,,salary_worker,0,0,3956.68,0.38,5.6,0
69,master,male,own,22583.73,self_employed,0,0,16702.68,0.21,6.4,0
39,bachelor,female,own,40196.93,retired,0,0,4238.86,0.49,10.1,0
66,bachelor,male,mortgage,15757.43,public_sector,0,1,6622.92,0.31,2.2,0
45,high_school,male,mortgage,68206.27,self_employed,0,0,13732.6,0.5,7.4,0
55,master,male,mortgage,15922.92,public_sector,0,0,6598.65,0.3,3.7,0
43,bachelor,female,own,12912.21,retired,0,0,8464.33,0.44,,0
34,bachelor,male,mortgage,52038.4,self_employed,0,0,8654.06,0.17,0.0,0
59,master,female,rent,44115.44,salary_worker,0,1,8402.23,0.69,5.4,0
69,high_school,female,rent,22425.25,self_employed,0,1,8632.42,0.03,11.8,0
34,high_school,female,own,28900.08,public_sector,0,0,9114.8,0.21,0.0,0
59,bachelor,male,rent,29230.15,self_employed,0,1,8442.94,0.08,9.7,0
34,phd,female,mortgage,,salary_worker,0,0,4951.68,0.48,4.9,0
56,,male,rent,13583.13,,1,1,3454.65,0.44,3.2,0
60,high_school,female,mortgage,7967.41,salary_worker,1,1,14030.25,0.12,8.9,0
43,high_school,female,own,16645.13,student,1,0,14386.97,0.52,12.7,0
57,master,female,rent,,salary_worker,1,1,9755.73,0.21,13.5,0
34,high_school,female,rent,56102.52,public_sector,0,0,9711.03,0.41,8.6,0
24,bachelor,male,own,21637.29,self_employed,0,0,4898.31,0.45,7.2,0
25,phd,male,mortgage,15818.19,salary_worker,0,0,2119.17,0.3,9.1,0
43,high_school,male,own,27588.51,self_employed,0,0,7067.21,0.5,17.4,0
66,bachelor,female,rent,29659.61,salary_worker,1,1,2853.94,0.31,6.3,0
27,,female,rent,31898.8,public_sector,1,0,8968.02,0.4,12.0,0
43,master,male,rent,7807.48,public_sector,0,1,16602.88,0.29,5.1,0
56,high_school,female,rent,100809.74,salary_worker,1,1,5774.02,0.01,4.2,0
31,high_school,female,mortgage,40522.54,self_employed,0,0,5959.35,0.32,14.6,0
57,high_school,male,rent,22269.23,student,0,1,4660.11,0.18,7.5,0
36,bachelor,female,rent,17618.15,salary_worker,0,1,8302.72,0.59,8.4,0
61,master,female,mortgage,37959.97,retired,1,1,7956.33,0.09,9.7,0
49,high_school,female,mortgage,30422.19,salary_worker,0,0,4626.14,0.56,3.9,0
48,,male,own,25373.65,salary_worker,0,0,13385.35,0.31,5.7,0
29,master,female,own,29919.05,self_employed,0,0,35821.49,0.41,4.9,0
44,high_school,male,mortgage,23139.03,salary_worker,0,1,15590.58,0.09,8.8,0
63,high_school,female,rent,29168.31,retired,0,0,7624.85,0.28,9.0,0
21,bachelor,female,rent,33754.31,public_sector,0,0,7574.95,0.22,5.1,1
58,high_school,female,mortgage,28409.89,public_sector,1,1,6109.15,0.72,15.6,0
45,high_school,male,mortgage,27747.88,public_sector,0,0,6040.28,0.22,7.4,0
56,bachelor,female,mortgage,45560.07,public_sector,1,0,13725.16,0.55,7.9,0
54,high_school,male,rent,11864.45,public_sector,0,0,14057.89,0.55,12.9,0
42,bachelor,female,mortgage,16999.73,public_sector,0,0,4258.87,0.55,4.0,0
36,bachelor,female,own,24635.71,public_sector,1,0,9911.72,0.23,5.4,0
52,bachelor,female,mortgage,17528.08,self_employed,0,0,14929.87,0.66,8.6,0
28,high_school,male,mortgage,20369.32,salary_worker,0,0,6683.52,0.7,1.6,0
50,master,female,rent,43455.11,self_employed,1,1,7213.12,0.41,6.6,0
25,high_school,male,rent,22764.62,salary_worker,0,0,11882.13,0.26,15.7,0
53,master,male,own,10687.77,salary_worker,0,0,12069.42,0.19,14.8,0
52,high_school,male,mortgage,,salary_worker,0,0,10259.73,0.42,11.1,0
25,master,male,rent,24988.0,salary_worker,0,0,9319.14,0.35,12.2,0
58,high_school,male,mortgage,24781.69,salary_worker,0,0,10033.89,0.37,9.5,0
41,high_school,male,own,31263.82,public_sector,0,1,6955.27,0.1,5.8,0
60,bachelor,female,own,30135.97,public_sector,0,1,4381.98,0.35,14.1,0
23,high_school,male,rent,22868.79,salary_worker,0,0,3442.19,0.55,3.7,1
29,high_school,male,mortgage,14230.35,student,0,0,11243.65,0.49,11.4,0
45,bachelor,female,rent,19960.04,student,0,0,8599.92,0.27,5.5,0
30,master,male,own,18393.46,retired,0,0,10410.14,0.32,5.7,0
37,high_school,male,rent,21411.92,salary_worker,0,0,5136.44,0.08,9.7,0
54,master,female,mortgage,33223.94,salary_worker,0,1,8573.42,0.22,15.6,0
28,master,male,mortgage,29197.73,salary_worker,0,0,8461.25,0.28,13.2,0
54,master,female,rent,35270.51,public_sector,0,0,16374.07,0.45,8.9,1
26,bachelor,female,rent,20479.15,self_employed,1,0,12945.0,0.21,7.8,0
29,bachelor,female,own,47990.69,public_sector,1,0,5393.89,0.15,10.6,0
50,bachelor,male,own,32951.01,public_sector,0,1,10694.71,0.48,13.0,1
60,,female,mortgage,25604.04,student,0,0,5373.37,0.26,0.5,0
29,master,male,own,31936.54,self_employed,0,0,1925.35,0.19,7.0,0
35,high_school,female,own,17960.1,retired,0,1,20937.0,0.49,3.3,0
67,high_school,female,mortgage,9424.43,,0,1,6593.16,0.42,6.6,0
70,high_school,male,own,18527.04,salary_worker,0,1,14352.86,0.3,2.5,0
50,phd,female,rent,34076.24,public_sector,0,0,5632.23,0.28,0.3,0
43,bachelor,male,rent,25237.78,salary_worker,0,1,5197.63,0.41,2.2,0
38,bachelor,female,rent,22889.29,salary_worker,1,1,5999.16,0.44,5.3,0
51,master,male,own,16621.83,student,0,1,9311.05,0.38,9.8,0
50,phd,male,rent,10095.84,salary_worker,0,1,8927.4,0.36,4.2,0
35,,female,own,46220.58,self_employed,1,0,10654.45,0.23,4.0,0
22,master,female,rent,22168.94,student,0,0,6167.18,0.24,9.1,0
28,master,female,mortgage,20064.51,salary_worker,0,0,8285.27,0.31,8.6,0
68,high_school,male,rent,17993.38,salary_worker,0,1,5096.23,0.17,14.3,0
41,bachelor,male,own,42810.35,salary_worker,0,0,18180.66,0.15,11.2,0
45,high_school,female,rent,36192.52,self_employed,0,0,3933.56,0.32,3.4,1
44,bachelor,female,rent,15752.31,salary_worker,0,0,5156.0,0.52,4.8,0
60,bachelor,male,rent,41111.55,salary_worker,0,1,6419.64,0.01,10.5,1
24,high_school,female,own,22804.62,public_sector,0,0,30149.17,0.27,4.0,0
25,high_school,male,mortgage,18495.01,salary_worker,0,1,12354.27,0.39,6.2,1
34,high_school,male,rent,,self_employed,0,0,5067.14,0.53,0.7,0
45,high_school,female,mortgage,17111.67,salary_worker,0,1,12736.22,0.66,2.3,0
54,bachelor,male,own,13434.82,self_employed,0,0,10761.24,0.29,12.5,0
45,high_school,female,own,34518.78,self_employed,0,1,9419.71,0.7,8.2,0
43,high_school,female,own,,salary_worker,0,0,11881.02,0.42,5.0,0
67,bachelor,male,rent,32136.39,,0,1,8366.07,0.49,5.5,0
29,bachelor,male,mortgage,27701.62,salary_worker,0,0,8901.18,0.15,14.4,0
49,bachelor,male,mortgage,31158.54,salary_worker,0,0,3449.17,0.42,4.9,0
48,master,male,mortgage,9694.42,salary_worker,0,1,17920.57,0.5,9.4,0
44,high_school,female,rent,16480.91,self_employed,0,0,6335.17,0.22,11.0,0
61,master,male,mortgage,31451.88,salary_worker,0,1,4103.21,0.01,,0
34,high_school,male,rent,13716.11,salary_worker,0,0,6140.26,0.37,,0
68,bachelor,female,own,28792.76,salary_worker,0,1,18354.61,0.3,1.9,0
37,phd,female,rent,13019.23,public_sector,1,0,5215.14,0.58,3.1,0
48,master,male,rent,,,0,0,12428.0,0.24,10.4,0
47,bachelor,male,own,50236.43,self_employed,0,0,13846.76,0.21,15.5,0
63,bachelor,female,mortgage,34495.01,self_employed,1,1,2758.49,0.13,10.6,0
42,high_school,male,rent,10584.72,salary_worker,0,0,6105.06,0.23,4.9,0
35,bachelor,female,own,35659.37,salary_worker,0,0,6350.52,0.82,12.3,0
22,master,female,own,55271.2,salary_worker,0,1,7371.08,0.05,5.6,0
39,phd,female,mortgage,85704.21,self_employed,0,0,20712.12,0.1,4.2,0
62,bachelor,male,mortgage,30145.29,salary_worker,0,1,5179.85,0.33,6.2,0
21,high_school,female,rent,13174.14,salary_worker,1,0,19136.0,0.7,5.2,0
65,bachelor,male,rent,29602.23,retired,0,0,7476.98,,4.7,0
48,high_school,female,own,49921.9,public_sector,0,1,19234.3,0.62,12.4,0
28,high_school,male,rent,22377.48,salary_worker,0,0,6829.27,0.27,5.4,1
36,high_school,male,mortgage,38925.27,,1,1,6403.21,0.09,1.2,1
48,bachelor,female,mortgage,16683.55,salary_worker,0,0,8002.82,0.26,9.8,0
36,high_school,male,mortgage,28783.54,salary_worker,0,0,16493.77,0.32,3.7,0
26,high_school,female,rent,7940.16,salary_worker,0,0,8840.28,0.34,3.8,1
54,high_school,female,mortgage,15872.59,retired,0,1,9091.44,0.3,10.3,0
54,master,male,mortgage,24276.05,salary_worker,0,1,11500.94,0.45,4.6,0
26,bachelor,male,rent,,public_sector,0,0,4994.8,0.21,5.7,0
35,high_school,female,rent,13557.87,public_sector,1,0,9751.52,0.17,7.7,0
33,high_school,male,rent,19441.3,self_employed,0,1,5736.01,0.12,6.4,0
53,bachelor,female,own,28235.77,salary_worker,0,1,18200.35,0.38,5.8,0
57,high_school,male,mortgage,23416.53,salary_worker,0,1,10201.24,0.36,0.0,0
57,bachelor,male,mortgage,25019.78,public_sector,0,1,11860.86,0.54,6.8,0
67,bachelor,male,rent,33839.57,salary_worker,0,1,2639.57,0.62,14.0,0
59,master,female,own,20859.75,self_employed,0,1,11952.58,0.12,10.0,0
37,high_school,male,rent,44874.73,salary_worker,0,0,7349.24,0.34,6.0,0
26,bachelor,male,rent,,public_sector,0,0,3675.94,0.3,9.4,0
51,high_school,female,rent,57965.38,public_sector,0,0,8537.63,0.06,10.0,0
66,phd,female,own,40169.66,self_employed,0,0,3515.52,0.24,4.1,0
69,phd,male,mortgage,20739.62,,0,0,11339.71,0.62,12.5,0
32,bachelor,female,mortgage,21371.35,salary_worker,0,1,17830.83,0.23,8.2,0
32,bachelor,male,mortgage,26716.35,salary_worker,0,0,3026.58,0.2,6.3,0
22,high_school,female,rent,31869.41,salary_worker,0,0,7970.56,0.33,13.9,0
28,master,male,mortgage,39836.81,public_sector,0,0,7400.55,0.5,0.0,1
48,bachelor,female,rent,13316.16,salary_worker,0,1,2712.8,0.29,2.8,0
48,high_school,male,own,29639.08,salary_worker,0,1,13414.31,0.36,10.1,0
39,bachelor,male,own,9391.58,salary_worker,0,1,11431.65,0.01,10.2,0
36,bachelor,female,rent,22476.26,salary_worker,0,0,24694.82,0.44,14.1,0
62,master,male,rent,46829.13,self_employed,0,1,10645.5,0.38,0.0,0
44,bachelor,male,rent,12862.56,public_sector,0,1,4996.79,,10.9,0
61,bachelor,female,rent,11853.08,salary_worker,1,1,10752.41,0.01,2.5,0
69,bachelor,female,mortgage,26885.91,salary_worker,0,0,16426.38,0.29,9.2,0
36,high_school,male,rent,45448.86,self_employed,0,0,6274.95,0.51,7.2,0
31,high_school,male,own,28181.7,self_employed,0,0,12949.7,0.24,10.9,0
68,high_school,female,mortgage,10331.18,retired,0,0,2218.97,0.35,6.6,0
52,master,male,own,11413.96,public_sector,0,0,18238.44,0.27,11.5,0
35,bachelor,female,own,25437.66,public_sector,0,0,12584.4,0.27,4.2,0
52,bachelor,female,mortgage,14318.98,retired,0,1,1999.39,0.55,7.2,0
46,high_school,male,rent,25887.33,retired,0,1,10001.2,,8.3,0
66,high_school,female,rent,26587.54,self_employed,0,0,2717.38,0.33,14.2,0
33,bachelor,female,own,19528.09,self_employed,0,0,5790.09,0.39,10.8,0
70,high_school,male,own,55085.37,public_sector,0,1,11770.8,0.51,8.3,0
67,high_school,female,mortgage,31751.98,salary_worker,0,1,7518.98,0.32,10.1,0
30,master,female,rent,41991.22,salary_worker,0,0,16173.62,0.51,11.8,0
